id,name,length,Achievements
42,Castle Wars White Armour,6,"49,65,63,64,66,67"
43,Castle Wars Gold Armour,6,"50,69,68,72,71,70"
44,Castle Wars Sara Gear,2,"51,73"
45,Castle Wars Zammy Gear,2,"52,74"
46,Castle Wars Mage Robes,3,"55,75,76"
47,Castle Wars Range Armour,3,"56,78,77"
48,Castle Wars Halos,3,"57,79,80"
49,Angler Outfit,4,"231,246,247,245"
50,Gnome Restaurant Uniques,4,"680,686,688,687"
51,Mage Training Arena Wands,4,"432,433,434,435"
52,Infinity Robes,5,"436,439,440,441,442"
53,Void Knight Robes,3,"690,695,696"
54,Void Knight Helmets,3,"691,698,697"
55,Rogue Outfit,5,"232,237,236,235,238"
56,Lumberjack Outfit,4,"233,239,241,240"
57,Farmer's Outfit,4,"234,242,244,243"
58,Blue Naval Outfit,3,"843,853,854"
59,Green Naval Outfit,3,"844,856,855"
60,Red Naval Outfit,3,"845,858,857"
61,Brown Naval Outfit,3,"846,859,860"
62,Black Naval Outfit,3,"847,861,862"
63,Purple Naval Outfit,3,"848,863,864"
64,Grey Naval Outfit,3,"865,866,849"
65,Trouble Brewing Flags,6,"850,868,867,870,871,869"
66,Trouble Brewing Rum,2,"852,872"
67,Wieldable Fishing Rods,3,"248,252,253"
68,Elder Chaos Druid Robes,3,"937,938,939"
69,Satchels,6,"144,145,146,147,149,148"
70,Fossil Island Notes,3,"313,314,315"
71,Ballista Parts,4,"613,615,617,616"
72,Prospector Outfit,4,"251,254,256,255"
73,Defenders,8,"604,609,607,611,605,606,610,608"
74,Chompy Bird Hats,18,"120,126,119,115,122,121,118,117,116,124,123,125,128,132,131,127,129,130"
75,Ancient Pages,10,"618,644,645,646,647,648,650,649,651,652"
76,Camo Outfit,3,"708,714,715"
77,Lederhosen,3,"709,717,716"
78,Zombie Outfit,3,"710,719,718"
79,Mime Outfit,5,"711,721,720,723,722"
80,Wilderness Weapons,3,"940,947,946"
81,Revenant Artefacts,6,"943,948,949,950,951,952"
82,Graceful Outfit,6,"257,262,263,264,266,265"
83,Shayzien Armour,5,"619,620,621,622,623"
84,Superior Slayer Monsters,2,"783,813"
85,Wyrm Uniques,2,"800,814"
86,Drake Uniques,2,"803,815"
87,Light Mystic Robes,5,"809,817,818,816,819"
88,Dark Mystic Robes,5,"810,822,823,821,820"
89,Dusk Mystic Robes,5,"811,825,827,824,826"
90,Obsidian Equipment,7,"624,653,655,654,656,658,657"
91,Obsidian Armour,3,"659,661,660"
92,Dark Totem Parts,3,"629,663,662"
93,Broken Dragon Equipment,5,"632,664,665,667,666"
94,Mining Gloves,3,"259,260,261"
95,Skull Sceptre,4,"636,668,669,670"
96,Giant Keys,2,"600,602"
97,Dragonstone Armour,5,"643,672,674,673,675"
98,Evil Chicken Outfit,4,"139,141,140,142"
99,Crab Parts,2,"637,671"
100,Runecrafting Pouches,4,"267,268,269,270"
101,Ava's Device,3,"272,273,274"
102,Xeric's Talisman,2,"638,676"
103,Steel Key Ring,5,"414,415,417,418,416"
104,Ardougne Diary,4,"178,497,394,406"
105,Desert Diary,4,"185,499,400,217"
106,Falador Diary,4,"179,505,401,220"
107,Fremennik Diary,4,"180,507,404,225"
108,Kandarin Diary,4,"182,501,397,219"
109,Karamja Diary,4,"188,506,398,223"
110,Kourend & Kebos Diary,4,"186,504,405,224"
111,Lumbridge & Draynor Diary,4,"183,502,403,218"
112,Morytania Diary,4,"189,498,402,222"
113,Varrock Diary,4,"184,500,396,215"
114,Western Provinces Diary,4,"187,508,395,221"
115,Wilderness Diary,4,"181,503,399,216"
116,Easy STASH Units,3,"191,192,193"
117,Medium STASH Units,3,"510,512,511"
118,Hard STASH Units,3,"407,409,408"
119,Elite STASH Units,4,"228,229,227,230"
120,Master STASH Units,8,"471,465,470,468,469,467,472,466"
