id,name,LINK_achievements
57,Malediction shard 3,"934,917,935"
58,Fedora,925
59,Prince black dragon,929
60,Kbd heads,918
61,Draconic visage,603
62,Scorpia's offspring,926
63,Treasonous ring,"921,933,932"
64,Venenatis spiderling,920
65,Vet'ion jr.,919
66,Ring of the gods,"921,933,932"
67,Pet dark core,922
68,Elysian sigil,"927,914,915"
69,Spectral sigil,"927,914,915"
70,Arcane sigil,"927,914,915"
71,Holy elixir,930
72,Spirit shield,912
73,Hellpuppy,743
74,Eternal crystal,"748,752,758"
75,Pegasian crystal,"748,752,758"
76,Primordial crystal,"748,752,758"
77,Jar of souls,751
78,Smouldering stone,746
79,Key master teleport,741
80,Godsword shard 1,"352,353,347"
81,Godsword shard 2,"352,353,347"
82,Godsword shard 3,"352,353,347"
83,Pet zilyana,348
84,Armadyl crossbow,337
85,Saradomin's light,357
86,Saradomin hilt,351
87,Zamorak hilt,346
88,Bandos hilt,343
89,Armadyl hilt,344
90,Pet general graardor,339
91,Bandos chestplate,"338,342,349"
92,Bandos tassets,"338,342,349"
93,Bandos boots,"338,342,349"
94,Pet kree'arra,355
95,Armadyl helmet,"341,359,340"
96,Armadyl chestplate,"341,359,340"
97,Armadyl chainskirt,"341,359,340"
98,Pet k'ril tsutsaroth,350
99,Staff of the dead,345
100,Zamorakian spear,358
101,Steam battlestaff,354
102,Saradomin sword,356
103,Pet dagannoth prime,"534,533,538"
104,Pet dagannoth supreme,"534,533,538"
105,Pet dagannoth rex,"534,533,538"
106,Berserker ring,"537,536,540,535"
107,Archers ring,"537,536,540,535"
108,Seers ring,"537,536,540,535"
109,Warrior ring,"537,536,540,535"
110,Dragon axe,541
111,Seercull,542
112,Mud battlestaff,543
113,Tzrek-Jad,544
114,Fire cape,545
115,Youngllef,546
116,Crystal armour seed,"547,548"
117,Crystal weapon seed,"547,548"
118,Blade of Saeldor,549
119,Gauntlet cape,550
120,Baby mole,551
121,Mole claw,552
122,Mole skin,552
123,Noon,763
124,Black tourmaline core,764
125,Granite gloves,"765,766,767"
126,Granite ring,"765,766,767"
127,Granite hammer,"765,766,767"
128,Jar of stone,769
129,Granite dust,768
130,Bottomless compost bucket,553
131,Iasor seed,"554,555,556"
132,Kronos seed,"554,555,556"
133,Attas seed,"554,555,556"
134,Jal-nib-rek,557
135,Infernal cape,558
136,Kalphite princess,559
137,Kq head,560
138,Jar of sand,561
139,Dragon chainbody,562
140,Pet kraken,770
141,Kraken tentacle,771
142,Trident of the seas,772
143,Jar of dirt,773
144,Hill giant club,563
145,Sraracha,564
146,Jar of eyes,565
147,Giant egg sac,566
148,Sarachnis cudgel,567
149,Skotos,568
150,Jar of darkness,569
151,Dark claw,570
152,Dark totem,571
153,Uncut onyx,572
154,Ancient shard,573
155,Pet smoke devil,774
156,Occult necklace,775
157,Smoke battlestaff,776
158,Vorki,574
159,Vorkath's head,575
160,Skeletal visage,576
161,Jar of decay,577
162,Dragonbone necklace,578
163,Phoenix,579
164,Tome of fire,580
165,Burnt page,581
166,Pyromancer garb,"582,583,585,584"
167,Pyromancer hood,"582,583,585,584"
168,Pyromancer robe,"582,583,585,584"
169,Pyromancer boots,"582,583,585,584"
170,Warm gloves,586
171,Bruma torch,587
172,Smolcano,588
173,Crystal tool seed,589
174,Zalcano shard,590
175,Pet snakeling,591
176,Tanzanite mutagen,"592,593"
177,Magma mutagen,"592,593"
178,Jar of swamp,594
179,Magic fang,595
180,Serpentine visage,596
181,Tanzanite fang,597
182,Zul-andra teleport,598
183,Zulrah's scales,599
184,Olmlet,81
185,Metamorphic dust,82
186,Twisted bow,"83,96,97,98,99"
187,Elder maul,"83,96,97,98,99"
188,Kodai insignia,"83,96,97,98,99"
189,Dragon claws,"83,96,97,98,99"
190,Ancestral hat,"84,94,95"
191,Ancestral robe top,"84,94,95"
192,Ancestral robe bottom,"84,94,95"
193,Dinh's bulwark,"85,100"
194,Dexterous prayer scroll,"86,101,102"
195,Arcane prayer scroll,"86,101,102"
196,Dragon hunter crossbow,"83,96,97,98,99"
197,Twisted buckler,"85,100"
198,Torn prayer scroll,"86,101,102"
199,Dark relic,87
200,Onyx,88
201,Xeric's guard,89
202,Xeric's warrior,90
203,Xeric's sentinel,91
204,Xeric's general,92
205,Xeric's champion,93
206,Lil' zik,829
207,Scythe of vitur,"830,838,839,840"
208,Ghrazi rapier,"830,838,839,840"
209,Sanguinesti staff,"830,838,839,840"
210,Justiciar faceguard,"831,841,842"
211,Justiciar chestguard,"831,841,842"
212,Justiciar legguards,"831,841,842"
213,Avernic defender hilt,"830,838,839,840"
214,Vial of blood,832
215,Sinhaza shroud tier 1,833
216,Sinhaza shroud tier 2,834
217,Sinhaza shroud tier 3,835
218,Sinhaza shroud tier 4,836
219,Sinhaza shroud tier 5,837
220,Mole slippers,"43,44,45,46,42"
221,Frog slippers,"43,44,45,46,42"
222,Bear feet,"43,44,45,46,42"
223,Demon feet,"43,44,45,46,42"
224,Jester cape,"43,44,45,46,42"
225,Shoulder parrot,"43,44,45,46,42"
226,Monk's robe top (t),"43,44,45,46,42"
227,Monk's robe (t),"43,44,45,46,42"
228,Amulet of defence (t),"43,44,45,46,42"
229,Sandwich lady hat,"43,44,45,46,42"
230,Sandwich lady top,"43,44,45,46,42"
231,Sandwich lady bottom,"43,44,45,46,42"
232,Rune scimitar ornament kit (guthix),"43,44,45,46,42"
233,Rune scimitar ornament kit (saradomin),"43,44,45,46,42"
234,Rune scimitar ornament kit (zamorak),"43,44,45,46,42"
235,Black pickaxe,"46,45,44,43,176,175,174,172,173,170,169,171,168,166,167,165,164,163,162,160,161,159,158,157,156,155,154,153,151,152,150,42"
236,Team cape zero,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
237,Team cape i,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
238,Team cape x,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
239,Cape of skulls,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
240,Golden chef's hat,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
241,Golden apron,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
242,Wooden shield (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
243,Black full helm (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
244,Black platebody (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
245,Black platelegs (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
246,Black plateskirt (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
247,Black kiteshield (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
248,Black full helm (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
249,Black platebody (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
250,Black platelegs (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
251,Black plateskirt (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
252,Black kiteshield (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
253,Black shield (h1),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
254,Black shield (h2),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
255,Black shield (h3),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
256,Black shield (h4),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
257,Black shield (h5),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
258,Black helm (h1),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
259,Black helm (h2),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
260,Black helm (h3),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
261,Black helm (h4),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
262,Black helm (h5),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
263,Black platebody (h1),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
264,Black platebody (h2),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
265,Black platebody (h3),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
266,Black platebody (h4),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
267,Black platebody (h5),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
268,Steel full helm (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
269,Steel platebody (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
270,Steel platelegs (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
271,Steel plateskirt (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
272,Steel kiteshield (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
273,Steel full helm (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
274,Steel platebody (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
275,Steel platelegs (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
276,Steel plateskirt (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
277,Steel kiteshield (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
278,Iron platebody (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
279,Iron platelegs (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
280,Iron plateskirt (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
281,Iron kiteshield (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
282,Iron full helm (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
283,Iron platebody (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
284,Iron platelegs (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
285,Iron plateskirt (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
286,Iron kiteshield (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
287,Iron full helm (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
288,Bronze platebody (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
289,Bronze platelegs (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
290,Bronze plateskirt (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
291,Bronze kiteshield (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
292,Bronze full helm (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
293,Bronze platebody (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
294,Bronze platelegs (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
295,Bronze plateskirt (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
296,Bronze kiteshield (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
297,Bronze full helm (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
298,Studded body (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
299,Studded chaps (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
300,Studded body (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
301,Studded chaps (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
302,Leather body (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
303,Leather chaps (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
304,Blue wizard hat (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
305,Blue wizard robe (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
306,Blue skirt (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
307,Blue wizard hat (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
308,Blue wizard robe (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
309,Blue skirt (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
310,Black wizard hat (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
311,Black wizard robe (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
312,Black skirt (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
313,Black wizard hat (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
314,Black wizard robe (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
315,Black skirt (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
316,Monk's robe top (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
317,Monk's robe (g),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
318,Saradomin robe top,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
319,Saradomin robe legs,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
320,Guthix robe top,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
321,Guthix robe legs,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
322,Zamorak robe top,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
323,Zamorak robe legs,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
324,Ancient robe top,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
325,Ancient robe legs,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
326,Armadyl robe top,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
327,Armadyl robe legs,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
328,Bandos robe top,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
329,Bandos robe legs,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
330,Bob's red shirt,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
331,Bob's green shirt,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
332,Bob's blue shirt,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
333,Bob's black shirt,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
334,Bob's purple shirt,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
335,Highwayman mask,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
336,Blue beret,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
337,Black beret,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
338,White beret,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
339,Red beret,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
340,A powdered wig,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
341,Beanie,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
342,Imp mask,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
343,Goblin mask,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
344,Sleeping cap,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
345,Flared trousers,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
346,Pantaloons,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
347,Black cane,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
348,Staff of bob the cat,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
349,Red elegant shirt,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
350,Red elegant blouse,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
351,Red elegant legs,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
352,Red elegant skirt,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
353,Green elegant shirt,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
354,Green elegant blouse,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
355,Green elegant legs,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
356,Green elegant skirt,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
357,Blue elegant shirt,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
358,Blue elegant blouse,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
359,Blue elegant legs,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
360,Blue elegant skirt,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
361,Amulet of magic (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
362,Amulet of power (t),"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
363,Ham joint,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
364,Rain bow,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
365,Willow comp bow,"150,152,151,153,154,155,156,157,158,159,161,160,162,163,164,165,167,166,168,171,169,170,173,172,174,175,176,177"
366,Ranger boots,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
367,Wizard boots,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
368,Holy sandals,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
369,Climbing boots (g),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
370,Spiked manacles,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
371,Adamant full helm (t),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
372,Adamant platebody (t),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
373,Adamant platelegs (t),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
374,Adamant plateskirt (t),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
375,Adamant kiteshield (t),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
376,Adamant full helm (g),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
377,Adamant platebody (g),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
378,Adamant platelegs (g),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
379,Adamant plateskirt (g),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
380,Adamant kiteshield (g),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
381,Adamant shield (h1),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
382,Adamant shield (h2),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
383,Adamant shield (h3),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
